rise,U7B001,U7C005,U7B004,U7C002
1,291619.2270757863,177370.67010390587,16269.625511257758,57636.02914754457
2,631746.2080139747,387272.16503211285,40432.83283338153,125850.2720154065
3,1344180.4848974992,808619.9719759021,103833.2519251858,271639.65825807385
4,2405644.189222876,1417740.7268488116,219943.32430464306,490182.90723051765
5,3998988.6399232913,2210417.1985036605,429563.0148462516,886684.2188410461
6,6068134.318496772,3061037.794696679,725702.9740790798,1624377.1894166553
7,8049227.555384602,3866249.579736835,1036186.0145903426,2311906.773529457
8,9662600.822554115,4568147.620412821,1305350.1774891722,2794003.9505038057
9,11042020.220256642,5226117.524202401,1562260.1534370675,3114841.6758796643
10,12454524.777898597,5898076.54007758,1845039.1399464349,3430123.348766827
